격자번호,행번호,열번호,중심위도,중심경도,격자한변길이_m,격자전체면적_m2,CCTV개수,가로등개수,비상벨개수,경찰서개수,지구대개수,파출소개수,전체시설개수,안전점수,안전등급,등급색상
3,0,2,37.522513785515486,127.06753266973153,500,250000,0,0,0,0,0,0,0,0.0,E,red
4,0,3,37.522513785515486,127.07319004919243,500,250000,0,0,0,0,0,0,0,0.0,E,red
5,0,4,37.522513785515486,127.07884742865333,500,250000,0,0,0,0,0,0,0,0.0,E,red
6,0,5,37.522513785515486,127.08450480811423,500,250000,0,0,0,0,0,0,0,0.0,E,red
13,1,0,37.52701878677641,127.05621791080974,500,250000,0,0,0,0,0,0,0,0.0,E,red
14,1,1,37.52701878677641,127.06187529027063,500,250000,0,0,0,0,0,0,0,0.0,E,red
15,1,2,37.52701878677641,127.06753266973153,500,250000,0,0,0,0,0,0,0,0.0,E,red
16,1,3,37.52701878677641,127.07319004919243,500,250000,0,0,0,0,0,0,0,0.0,E,red
17,1,4,37.52701878677641,127.07884742865333,500,250000,4,0,4,0,0,0,8,8.0,E,red
18,1,5,37.52701878677641,127.08450480811423,500,250000,7,1,6,0,0,0,14,13.75,E,red
19,1,6,37.52701878677641,127.09016218757513,500,250000,0,0,0,0,0,0,0,0.0,E,red
25,2,0,37.53152378803733,127.05621791080974,500,250000,0,0,0,0,0,0,0,0.0,E,red
26,2,1,37.53152378803733,127.06187529027063,500,250000,4,0,4,0,0,0,8,8.0,E,red
27,2,2,37.53152378803733,127.06753266973153,500,250000,10,58,9,0,0,0,77,34.0,D,orange
28,2,3,37.53152378803733,127.07319004919243,500,250000,27,30,25,0,0,0,82,42.5,C,yellow
29,2,4,37.53152378803733,127.07884742865333,500,250000,31,54,26,0,0,0,111,48.5,C,yellow
30,2,5,37.53152378803733,127.08450480811423,500,250000,37,55,32,0,0,0,124,48.75,C,yellow
31,2,6,37.53152378803733,127.09016218757513,500,250000,24,37,20,0,0,0,81,44.25,C,yellow
32,2,7,37.53152378803733,127.09581956703603,500,250000,1,4,0,0,0,0,5,2.5,E,red
33,2,8,37.53152378803733,127.10147694649693,500,250000,0,0,0,0,0,0,0,0.0,E,red
38,3,1,37.53602878929826,127.06187529027063,500,250000,23,32,19,0,0,1,75,58.0,C,yellow
39,3,2,37.53602878929826,127.06753266973153,500,250000,38,69,30,0,0,0,137,52.25,C,yellow
40,3,3,37.53602878929826,127.07319004919243,500,250000,17,47,14,0,0,1,79,57.25,C,yellow
41,3,4,37.53602878929826,127.07884742865333,500,250000,30,62,26,0,0,1,119,65.5,B,yellowgreen
42,3,5,37.53602878929826,127.08450480811423,500,250000,25,86,22,0,0,0,133,55.0,C,yellow
43,3,6,37.53602878929826,127.09016218757513,500,250000,30,69,22,0,0,0,121,52.25,C,yellow
44,3,7,37.53602878929826,127.09581956703603,500,250000,18,104,10,0,0,0,132,52.0,C,yellow
45,3,8,37.53602878929826,127.10147694649693,500,250000,0,0,0,0,0,0,0,0.0,E,red
46,3,9,37.53602878929826,127.10713432595783,500,250000,0,0,0,0,0,0,0,0.0,E,red
50,4,1,37.54053379055918,127.06187529027063,500,250000,8,19,7,0,0,0,34,20.25,D,orange
51,4,2,37.54053379055918,127.06753266973153,500,250000,31,37,25,0,0,0,93,44.25,C,yellow
52,4,3,37.54053379055918,127.07319004919243,500,250000,13,65,10,0,0,0,88,40.75,C,yellow
53,4,4,37.54053379055918,127.07884742865333,500,250000,7,5,7,0,0,0,19,15.25,E,red
54,4,5,37.54053379055918,127.08450480811423,500,250000,33,29,28,0,0,0,90,42.25,C,yellow
55,4,6,37.54053379055918,127.09016218757513,500,250000,41,21,35,0,0,0,97,40.25,C,yellow
56,4,7,37.54053379055918,127.09581956703603,500,250000,18,94,16,0,0,0,128,52.0,C,yellow
57,4,8,37.54053379055918,127.10147694649693,500,250000,10,56,9,0,0,0,75,33.5,D,orange
58,4,9,37.54053379055918,127.10713432595783,500,250000,0,0,0,0,0,0,0,0.0,E,red
62,5,1,37.545038791820105,127.06187529027063,500,250000,0,1,0,0,0,0,1,0.25,E,red
63,5,2,37.545038791820105,127.06753266973153,500,250000,35,16,32,0,0,0,83,39.0,D,orange
64,5,3,37.545038791820105,127.07319004919243,500,250000,26,59,22,0,1,0,108,64.75,B,yellowgreen
65,5,4,37.545038791820105,127.07884742865333,500,250000,10,34,9,0,0,0,53,28.0,D,orange
66,5,5,37.545038791820105,127.08450480811423,500,250000,18,62,14,1,0,0,95,62.5,B,yellowgreen
67,5,6,37.545038791820105,127.09016218757513,500,250000,22,33,21,0,0,1,77,58.25,C,yellow
68,5,7,37.545038791820105,127.09581956703603,500,250000,7,42,6,0,0,0,55,24.0,D,orange
69,5,8,37.545038791820105,127.10147694649693,500,250000,21,84,18,0,1,0,124,70.0,B,yellowgreen
70,5,9,37.545038791820105,127.10713432595783,500,250000,2,65,2,0,0,0,69,20.25,D,orange
71,5,10,37.545038791820105,127.11279170541873,500,250000,0,0,0,0,0,0,0,0.0,E,red
75,6,2,37.54954379308103,127.06753266973153,500,250000,9,43,9,0,0,0,61,28.75,D,orange
76,6,3,37.54954379308103,127.07319004919243,500,250000,22,86,16,0,0,0,124,55.0,C,yellow
77,6,4,37.54954379308103,127.07884742865333,500,250000,1,11,1,0,0,0,13,4.75,E,red
78,6,5,37.54954379308103,127.08450480811423,500,250000,11,0,11,0,0,0,22,21.5,D,orange
79,6,6,37.54954379308103,127.09016218757513,500,250000,26,71,24,0,0,0,121,52.75,C,yellow
80,6,7,37.54954379308103,127.09581956703603,500,250000,24,47,21,0,0,0,92,46.75,C,yellow
81,6,8,37.54954379308103,127.10147694649693,500,250000,27,32,23,0,0,0,82,43.0,C,yellow
82,6,9,37.54954379308103,127.10713432595783,500,250000,18,61,16,0,0,0,95,47.25,C,yellow
83,6,10,37.54954379308103,127.11279170541873,500,250000,1,17,1,0,0,0,19,6.25,E,red
87,7,2,37.55404879434195,127.06753266973153,500,250000,1,6,1,0,0,0,8,3.5,E,red
88,7,3,37.55404879434195,127.07319004919243,500,250000,32,41,28,0,0,0,101,45.25,C,yellow
89,7,4,37.55404879434195,127.07884742865333,500,250000,34,46,32,0,0,0,112,46.5,C,yellow
90,7,5,37.55404879434195,127.08450480811423,500,250000,31,50,28,0,0,0,109,47.5,C,yellow
91,7,6,37.55404879434195,127.09016218757513,500,250000,25,55,21,0,0,0,101,48.75,C,yellow
92,7,7,37.55404879434195,127.09581956703603,500,250000,31,26,27,0,0,0,84,41.5,C,yellow
93,7,8,37.55404879434195,127.10147694649693,500,250000,39,12,33,0,0,0,84,38.0,D,orange
94,7,9,37.55404879434195,127.10713432595783,500,250000,2,4,2,0,0,0,8,5.0,E,red
95,7,10,37.55404879434195,127.11279170541873,500,250000,0,19,0,0,0,0,19,4.75,E,red
100,8,3,37.558553795602876,127.07319004919243,500,250000,17,38,13,0,0,0,68,40.0,C,yellow
101,8,4,37.558553795602876,127.07884742865333,500,250000,24,106,21,0,0,1,152,70.0,B,yellowgreen
102,8,5,37.558553795602876,127.08450480811423,500,250000,37,25,33,0,0,0,95,41.25,C,yellow
103,8,6,37.558553795602876,127.09016218757513,500,250000,23,59,20,0,0,0,102,49.75,C,yellow
104,8,7,37.558553795602876,127.09581956703603,500,250000,20,9,20,0,0,0,49,37.25,D,orange
105,8,8,37.558553795602876,127.10147694649693,500,250000,8,0,6,0,0,0,14,15.0,E,red
106,8,9,37.558553795602876,127.10713432595783,500,250000,1,0,1,0,0,0,2,2.0,E,red
107,8,10,37.558553795602876,127.11279170541873,500,250000,0,9,0,0,0,0,9,2.25,E,red
112,9,3,37.5630587968638,127.07319004919243,500,250000,4,39,3,0,0,0,46,17.25,E,red
113,9,4,37.5630587968638,127.07884742865333,500,250000,33,84,27,0,0,0,144,55.0,C,yellow
